8683f7ff_c07f3fff_05845b43_xxxxx_x | 05845b44_0
9ede38f7_3e7f7f7f_9fdea8bc_xxxxx_x | 9fdea8bc_1
4f951295_41e00002_4d2a5e60_xxxxx_x | 4d2a5e60_1
c2800040_4fffdff7_b2001046_xxxxx_x | b2001047_0
be5fefff_417febff_bc600180_xxxxx_x | bc600180_1
ce7d4590_c0fffc3f_4cfd4947_xxxxx_x | 4cfd4947_1
137f7ffb_a68002fe_ac7f7a02_xxxxx_x | ac7f7a02_1
2bffffcf_de00acfd_8d7ea7a6_xxxxx_x | 8d7ea7a6_1
760077ff_bcb1b7e5_f8b90e8e_xxxxx_x | f8b90e8e_1
bed56444_3e7ff400_bfd56e45_xxxxx_x | bfd56e45_1
5e7f8003_bec111f7_df2963a3_xxxxx_x | df2963a4_0
3ffff7fe_4e00ffee_317dfc2a_xxxxx_x | 317dfc29_0
c2d0aa48_ce820fff_33cd5b31_xxxxx_x | 33cd5b31_1
bffc1000_c11df309_3e4c449d_xxxxx_x | 3e4c449c_0
be000081_40dd6229_bc940457_xxxxx_x | bc940458_0
4bf7bfff_da7eefff_b0f8c854_xxxxx_x | b0f8c855_0
bf7fff7b_be30ffbe_40b9212a_xxxxx_x | 40b92129_0
33bfff7e_46fe00fe_2c4181c1_xxxxx_x | 2c4181c2_0
da5f117a_39409b1b_e0943e90_xxxxx_x | e0943e8f_0
c1fbfffc_b5fe0100_4b7dfaf3_xxxxx_x | 4b7dfaf4_0
bffffe03_4eec20df_b08ac48b_xxxxx_x | b08ac48b_1
c120000f_25ffefbf_daa00a37_xxxxx_x | daa00a38_0
87258873_421ffc00_84847079_xxxxx_x | 84847078_0
017fe07e_33800000_0d7fe07f_xxxxx_x | 0d7fe07e_0
25877fff_c09ffbfe_a458d23a_xxxxx_x | a458d23a_1
41fdfffb_c2cf5ec6_be9cc849_xxxxx_x | be9cc849_1
be3672e3_72b139fa_8b03c592_xxxxx_x | 8b03c592_1
40fdbfff_33800001_4cfdbffe_xxxxx_x | 4cfdbffd_0
3c7f0003_4eaea2e8_2d3ae717_xxxxx_x | 2d3ae717_1
9e7bfff7_41de507f_9c11177b_xxxxx_x | 9c11177a_0
c07dfbfe_cb84007f_347648c3_xxxxx_x | 347648c4_0
c090000f_33ffffff_cc100010_xxxxx_x | cc100010_1
dacc892b_f2f80006_27532237_xxxxx_x | 27532238_0
b8ffffe4_4178001f_b70420ea_xxxxx_x | b70420e9_0
3f00007f_33fffffe_4a800080_xxxxx_x | 4a800080_1
4064d70e_4fd8bec6_30072486_xxxxx_x | 30072486_1
2cd956db_3e800000_2dd956dc_xxxxx_x | 2dd956db_0
de0003ff_c0561c35_5d190fb5_xxxxx_x | 5d190fb5_1
4f7fc000_33812edf_5b7d6864_xxxxx_x | 5b7d6864_1
df07ffdf_4effdfe0_cf8810f2_xxxxx_x | cf8810f2_1
1a8ffffe_3e800001_1b8ffffe_xxxxx_x | 1b8ffffd_0
4e4d6940_3ffbfffb_4dd0abf3_xxxxx_x | 4dd0abf4_0
be886202_3e800000_bf886202_xxxxx_x | bf886202_1
c0dffff8_41dff7ff_be80048f_xxxxx_x | be80048e_0
3f080040_3effffff_3f880040_xxxxx_x | 3f880041_0
c0fffe80_8d7f9ffe_73002f53_xxxxx_x | 73002f53_1
ed9effff_bf61fe3e_6db41c94_xxxxx_x | 6db41c95_0
befc007e_2200ffbe_dc7a0ce5_xxxxx_x | dc7a0ce5_1
413ff7fe_ceffff00_b1bff8be_xxxxx_x | b1bff8be_1
c000dfff_3f000000_c080e000_xxxxx_x | c080dfff_0
48bffffc_3e7bf7fe_49c31260_xxxxx_x | 49c31260_1
dff80000_b2fffdbe_6c780230_xxxxx_x | 6c780230_1
32c62227_3f000001_33462225_xxxxx_x | 33462225_1
4f7fe01f_f174dee7_9d85c0a1_xxxxx_x | 9d85c0a1_1
de65cbd0_5dfff80f_bfe5d2f0_xxxxx_x | bfe5d2f1_0
ed7ffff1_3f7fffff_ed7ffff1_xxxxx_x | ed7ffff2_0
9e020000_bf01ff00_1e8000fd_xxxxx_x | 1e8000fc_0
4180807e_decf3286_a21ec4d5_xxxxx_x | a21ec4d5_1
c17fdffd_3f7ffffe_c17fe000_xxxxx_x | c17fdfff_0
2f00bfff_5e14d901_105d6f35_xxxxx_x | 105d6f35_1
bf81f800_bf7f9ffe_3f8228d0_xxxxx_x | 3f8228d0_1
4ffffdfe_3f800000_4ffffdff_xxxxx_x | 4ffffdfe_0
cbfff800_3affdeff_d0800c82_xxxxx_x | d0800c82_1
be7ffdfc_40005fff_bdff3e90_xxxxx_x | bdff3e8f_0
41fff3fe_397f5ffe_48004a2f_xxxxx_x | 48004a2e_0
deffff20_40e7ffff_dd8d3d50_xxxxx_x | dd8d3d50_1
4bbbfffe_33801ffc_57bbd110_xxxxx_x | 57bbd110_1
bdc0003f_be2cfe4c_3f0e1061_xxxxx_x | 3f0e1061_1
2608001f_4e8047fe_1707b3cd_xxxxx_x | 1707b3cc_0
b436f03e_3ffffffe_b3b6f040_xxxxx_x | b3b6f03f_0
44ffaffe_cf0000fa_b57fae0b_xxxxx_x | b57fae0b_1
c58fffde_4041c35d_c4be4091_xxxxx_x | c4be4092_0
3e18eecc_c6810200_b717bcf3_xxxxx_x | b717bcf3_1
33800ffc_40000000_33000ffd_xxxxx_x | 33000ffc_0
cf000010_40000001_ce800010_xxxxx_x | ce80000f_0
dff384eb_cf00c000_507219c4_xxxxx_x | 507219c4_1
df8f0000_bf80dfff_5f8e0774_xxxxx_x | 5f8e0774_1
5700002f_bf7f00ff_d7008030_xxxxx_x | d700802f_0
bc1d9886_407fffff_bb1d9886_xxxxx_x | bb1d9887_0
3eeffefe_de0001fc_a06ffb45_xxxxx_x | a06ffb46_0
67ffffba_4b820000_5bfc0f7d_xxxxx_x | 5bfc0f7c_0
3381bfff_91ffb000_e101e897_xxxxx_x | e101e898_0
bd4a82a6_407ffffe_bc4a82a7_xxxxx_x | bc4a82a8_0
3f00000a_33801fe0_4affc064_xxxxx_x | 4affc064_1
3c808400_33ffd800_48009817_xxxxx_x | 48009818_0
befffefb_3f71f5ef_bf076cc3_xxxxx_x | bf076cc3_1
bc5ffe00_40800000_bb5ffe00_xxxxx_x | bb5ffe00_1
bff48022_3aec60e1_c48465ed_xxxxx_x | c48465ed_1
ce803fef_4b008040_c2ff7fdf_xxxxx_x | c2ff7fde_0
7effffb0_c7ffec00_f68009d9_xxxxx_x | f68009d9_1
be203ffe_40800001_bd203ffe_xxxxx_x | bd203ffd_0
c1c72fee_c0000fdf_4147173f_xxxxx_x | 4147173e_0
cef7ffff_bf87bffe_4ee9d776_xxxxx_x | 4ee9d777_0
4f40fffe_40ffffff_4dc0ffff_xxxxx_x | 4dc0ffff_1
